name	homepage	html_url	description	topics	funding
AI_for_Decision_Makers	https://hutchdatascience.org/AI_for_Decision_Makers/	https://github.com/fhdsl/AI_for_Decision_Makers	This is the series of courses in Fred Hutch DaSL's ""AI for Decision Makers"" specialization on Coursera.	course, hutch-course	hutch-course
AI_for_Efficient_Programming	https://hutchdatascience.org/AI_for_Efficient_Programming/	https://github.com/fhdsl/AI_for_Efficient_Programming	DaSL's course on AI skills for efficient programming	artificial-intelligence, chatbot, course, hutch-course, learn-ai, llm, llms, software-learning	hutch-course
Adv_Reproducibility_in_Cancer_Informatics	https://jhudatascience.org/Adv_Reproducibility_in_Cancer_Informatics	https://github.com/jhudsl/Adv_Reproducibility_in_Cancer_Informatics	This course the second course in a two part series that discusses reproducibility in the context of cancer informatics.	python, r, reproducibility, version-control	NA
AnVIL_Book_Epigenetics_Intro	https://hutchdatascience.org/AnVIL_Book_Epigenetics_Intro/	https://github.com/fhdsl/AnVIL_Book_Epigenetics_Intro	An introductory activity for epigenetics, or the idea of ""nature versus nurture"" in genetics. Learners use the UCSC Genome Browser.	anvil, course, epigenetics, human-genomes, module, ucsc-browser	anvil
AnVIL_Book_Getting_Started	https://jhudatascience.org/AnVIL_Book_Getting_Started	https://github.com/jhudsl/AnVIL_Book_Getting_Started	A guide for getting started using AnVIL 	anvil, cloud-computing, course, genomics, guide	anvil
AnVIL_Book_Instructor_Guide	https://jhudatascience.org/AnVIL_Book_Instructor_Guide	https://github.com/jhudsl/AnVIL_Book_Instructor_Guide	A guide for instructors using AnVIL for workshops, lessons, or courses.	anvil, course, education, guide	anvil
AnVIL_Book_WDL	https://jhudatascience.org/AnVIL_Book_WDL	https://github.com/jhudsl/AnVIL_Book_WDL	Running and writing your first WDL workflow on AnVIL for absolute beginners.	anvil, course, genomics, module, wdl, workflows	anvil
AnVIL_Collection	https://hutchdatascience.org/AnVIL_Collection/	https://github.com/fhdsl/AnVIL_Collection	📚 An auto-generating collection of all materials related to the AnVIL and GDSCN projects	anvil, content-library, edtech-software, gdscn, website	anvil, gdscn
AnVIL_Data_Subsetting	https://hutchdatascience.org/AnVIL_Data_Subsetting/	https://github.com/fhdsl/AnVIL_Data_Subsetting	Tutorial for running the fastq_subsample WDL workflow on AnVIL!	anvil, course, genomics, module, wdl, wdl-workflow, workflow	anvil
AnVIL_Demos	https://hutchdatascience.org/AnVIL_Demos/	https://github.com/fhdsl/AnVIL_Demos	⏱ 30-minute demos and tutorials from our live AnVIL series	anvil, cloud, cloud-computing, course, genomics, module, research	anvil
AnVIL_Phylogenetic-Techniques	https://jhudatascience.org/AnVIL_Phylogenetic-Techniques/	https://github.com/jhudsl/AnVIL_Phylogenetic-Techniques	A semester-long course on the basics of molecular phylogenetic techniques	anvil, course, phylogenetics, r-programming	anvil
AnVIL_Poll_2024	https://hutchdatascience.org/AnVIL_Poll_2024/	https://github.com/fhdsl/AnVIL_Poll_2024	A summary of our findings from the 2024 State of the AnVIL user poll.		NA
AnVIL_SRA_Data	https://hutchdatascience.org/AnVIL_SRA_Data/	https://github.com/fhdsl/AnVIL_SRA_Data	Pull Sequence Read Archive (SRA) data into AnVIL	anvil, course, genomics, module, ncbi-database, sequence-read-archive	anvil
AnVIL_Template	https://jhudatascience.org/AnVIL_Template/	https://github.com/jhudsl/AnVIL_Template	An OTTR spinoff template for creating AnVIL content	anvil, edtech-software, template	anvil
AnVIL_Urban_Genomics_PCA	https://hutchdatascience.org/AnVIL_Urban_Genomics_PCA/	https://github.com/fhdsl/AnVIL_Urban_Genomics_PCA	Lab module and lectures for exploring PCA using feral pigeon populations	anvil, course, genomics, pca, urban-data-science	anvil
AnVIL_WDLs	https://github.com/fhdsl/AnVIL_WDLs/tree/main	https://github.com/fhdsl/AnVIL_WDLs	Raw WDL workflow files for use on AnVIL and other platforms	anvil, genomics, wdl, workflows	anvil
Baltimore_Community_Course	https://jhudatascience.org/Baltimore_Community_Course	https://github.com/jhudsl/Baltimore_Community_Course	Baltimore Community Data Science Course at JHSPH through partnership with SOURCE	community-outreach, course, data-science	NA
Baltimore_nonprofits_assets	https://jhudatascience.org/Baltimore_nonprofits_assets/	https://github.com/jhudsl/Baltimore_nonprofits_assets	Analysis to accompany article by Tyler Derreth et al. ""Serving a Segregated City: An Analysis of Nonprofit Locations in Baltimore ""		NA
BioDIGSData	https://github.com/fhdsl/BioDIGSData	https://github.com/fhdsl/BioDIGSData	Data Package for BioDIGS Project	biodigs, edtech-software, gdscn	gdscn
Choosing_Genomics_Tools	http://hutchdatascience.org/Choosing_Genomics_Tools/	https://github.com/fhdsl/Choosing_Genomics_Tools	A course to help learners find resources and tools to help them process and interpret their genomic data		NA
Computing_for_Cancer_Informatics	https://jhudatascience.org/Computing_for_Cancer_Informatics	https://github.com/jhudsl/Computing_for_Cancer_Informatics	The course covers the key underlying principles and concepts in computing. It covers concrete discussions of the differences between cloud and local computing. The course highlights a number of computing options and etiquette for using shared resources.	computing, informatics	NA
DaSEH	https://daseh.org	https://github.com/fhdsl/DaSEH	🌼 Collection of materials to accompany the R25 funded ""Data Science for Environmental Health"" short course	beginner, beginner-friendly, beginner-programming, course, daseh, data-science, environmental-health, niehs, public-health, r-programming, tidyverse	daseh
DaSL_Collection	https://hutchdatascience.org/DaSL_Collection	https://github.com/fhdsl/DaSL_Collection	📚 An auto-generating library of Data Science Lab Github-based content	content-library, website	NA
Data-Wrangling	https://hutchdatascience.org/Data-Wrangling/	https://github.com/fhdsl/Data-Wrangling	UW Summer Institute in Statistics: Data Wrangling in R	course, data-science, data-wrangling, r-programming, r-stats, tidyverse	NA
DataTrail: 12_package	https://datatrail-jhu.github.io/12_package/	https://github.com/datatrail-jhu/12_package	How to Create an R package Course	data-science, package-development, r-package	NA
DataTrail: DataTrail	https://datatrail-jhu.github.io/DataTrail/	https://github.com/datatrail-jhu/DataTrail	The re-organized DataTrail curriculum https://www.datatrail.org/		NA
DataTrail: DataTrail_Guides	https://datatrail-jhu.github.io/DataTrail_Guides/	https://github.com/datatrail-jhu/DataTrail_Guides	Guides for how to launch a DataTrail program		NA
DataTrail: open-datasets	https://datatrail-jhu.github.io/open-datasets/	https://github.com/datatrail-jhu/open-datasets	Open datasets for DataTrail learners to play and practice with		NA
DataTrail: python	https://datatrail-jhu.github.io/python/	https://github.com/datatrail-jhu/python	A bonus course for DataTrail graduates who wish to learn python		NA
DataTrail: rgoogleclassroom	https://datatrail-jhu.github.io/rgoogleclassroom/	https://github.com/datatrail-jhu/rgoogleclassroom	API wrapper for Google Classroom and a bit of Google Forms API too		NA
DataTrail: scn	http://swirlstats.com/scn/	https://github.com/datatrail-jhu/scn	:school_satchel: The swirl Course Network - A Repository for swirl Courses		NA
Data_Management_and_Sharing	http://hutchdatascience.org/Data_Management_and_Sharing/	https://github.com/fhdsl/Data_Management_and_Sharing	Data management and sharing best practices for biomedical data handling folks		NA
Developing_WDL_Workflows	https://hutchdatascience.org/Developing_WDL_Workflows/	https://github.com/fhdsl/Developing_WDL_Workflows	""Developing WDL Workflows"" shows a bioinformatics workflow developer how to strategically develop and scale up a WDL workflow that is iterative, reproducible, and efficient in terms of time and resource used. This guide is flexible regardless of where the data is, what computing resources are being used, and what software is being used.	hutch-course	hutch-course
Documentation_and_Usability	https://jhudatascience.org/Documentation_and_Usability/	https://github.com/jhudsl/Documentation_and_Usability	A course to cover the basics of creating documentation and tutorials to maximize the usability of informatics tools	documentation, software-development	NA
Ethical_Data_Handling_for_Cancer_Research	https://hutchdatascience.org/Ethical_Data_Handling_for_Cancer_Research/	https://github.com/fhdsl/Ethical_Data_Handling_for_Cancer_Research	This course is designed to help researchers and investigators understand the key principles of data management from an ethics, privacy, security, usability and discoverability perspective. 	data, ethics, privacy, research, security	NA
FH_Cluster201	https://hutchdatascience.org/FH_Cluster201/	https://github.com/fhdsl/FH_Cluster201	An emerging course for effective use of FH Computing. 		NA
FH_Cluster_101	https://hutchdatascience.org/FH_Cluster_101/	https://github.com/fhdsl/FH_Cluster_101	This course introduces users to the Fred Hutch Cluster. It will lead users through account creation, using the terminal, connecting to the cluster, submitting jobs, and transferring files. Available in both web and Leanpub formats.	command-line, computing-cluster, course, hpcc, hutch-course	hutch-course
FH_WDL101_Cromwell	https://hutchdatascience.org/FH_WDL101_Cromwell/	https://github.com/fhdsl/FH_WDL101_Cromwell	An introduction to using Cromwell and WDL at the Fred Hutch	course, fredhutch, hutch-course, wdl	hutch-course
FH_WDL102_Workflows	https://hutchdatascience.org/FH_WDL102_Workflows/	https://github.com/fhdsl/FH_WDL102_Workflows	Info about designing, optimizing and deploying your own WDL workflows	course, fredhutch, openwdl, wdl, workflows	NA
FH_letterhead	https://github.com/fhdsl/FH_letterhead	https://github.com/fhdsl/FH_letterhead	A LaTeX template for Fred Hutch letterhead	latex, letterhead, template	NA
GDSCN_BioDIGS_AMR	http://hutchdatascience.org/GDSCN_BioDIGS_AMR/	https://github.com/fhdsl/GDSCN_BioDIGS_AMR	This is a BioDIGS in the Classroom companion guide for the BioDIGS project. This particular activity guides students through an investigation of antimicrobial resistance in the BioDIGS samples using Galaxy.	biodigs, course, gdscn, module	gdscn
GDSCN_BioDIGS_Book	https://hutchdatascience.org/GDSCN_BioDIGS_Book/	https://github.com/fhdsl/GDSCN_BioDIGS_Book	Getting started guide for using BioDIGS data in the classroom. 	anvil, biodigs, course, gdscn, r-programming, tutorial	anvil, gdscn
GDSCN_BioDIGS_Soil	http://hutchdatascience.org/GDSCN_BioDIGS_Soil/	https://github.com/fhdsl/GDSCN_BioDIGS_Soil	This is a BioDIGS in the Classroom companion guide for the BioDIGS project. This particular activity guides students through exploration and visualization of the soil characteristics data using R.	anvil, biodigs, course, gdscn, module	anvil, gdscn
GDSCN_Book_SARS_Galaxy_on_AnVIL	https://jhudatascience.org/GDSCN_Book_SARS_Galaxy_on_AnVIL/	https://github.com/jhudsl/GDSCN_Book_SARS_Galaxy_on_AnVIL	Lab module and lectures for variant detection in SARS-CoV-2 using Galaxy	anvil, course, gdscn, genomics, module, sars-cov-2, variant-detection	anvil, gdscn
GDSCN_Book_Statistics_for_Genomics_Differential_Expression	https://jhudatascience.org/GDSCN_Book_Statistics_for_Genomics_Differential_Expression/	https://github.com/jhudsl/GDSCN_Book_Statistics_for_Genomics_Differential_Expression	A set of lab modules for an introduction to differential gene expression	anvil, cloud-computing, course, gdscn, gene-expression, genomics, module	anvil, gdscn
GDSCN_Book_Statistics_for_Genomics_PCA	https://jhudatascience.org/GDSCN_Book_Statistics_for_Genomics_PCA/	https://github.com/jhudsl/GDSCN_Book_Statistics_for_Genomics_PCA	A set of lab modules for PCA analysis	anvil, course, gdscn, genomics, module, pca	anvil, gdscn
